Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Micronesia,26/04/2022 9:20,7.4256,150.5508,3,0,1.00,,2.635856434,,,0,583,FSM,2,0
MS Zaandam,26/04/2022 9:20,,,9,2,7.00,,,,,22.22222222,8888,,0,0
Marshall Islands,26/04/2022 9:20,7.1315,171.1845,17,0,7.00,,29.10311061,,,0,584,MHL,10,0
Diamond Princess,26/04/2022 9:20,,,712,13,699.00,,,,,1.825842697,9999,,0,0
Burundi,26/04/2022 9:20,-3.3731,29.9189,39632,38,773.00,,333.3002265,,,0.095882115,108,BDI,1169,0
Samoa,26/04/2022 9:20,-13.759,-172.1046,7185,13,1605.00,,3663.386529,,,0.180932498,882,WSM,6080,13
Kiribati,26/04/2022 9:20,-3.3704,-168.734,3080,13,2599.00,,2618.914001,,,0.422077922,296,KIR,15,0
Palau,26/04/2022 9:20,7.515,134.5825,4396,6,3879.00,,24411.37272,,,0.136487716,585,PLW,382,0
Nicaragua,26/04/2022 9:20,12.865416,-85.207229,18491,233,4225.00,,279.1282251,,,1.260072468,558,NIC,126,4
Chad,26/04/2022 9:20,15.4542,18.7322,7411,193,4874.00,,45.11788394,,,2.604236945,148,TCD,103,2
Saint Kitts and Nevis,26/04/2022 9:20,17.357822,-62.782998,5562,43,5518.00,,10456.45962,,,0.7731032,659,KNA,13,1
Liberia,26/04/2022 9:20,6.428055,-9.429499,7432,294,5747.00,,146.9449314,,,3.955866523,430,LBR,32,0
Sao Tome and Principe,26/04/2022 9:20,0.1864,6.6131,5957,73,5880.00,,2718.093091,,,1.225449052,678,STP,12,0
Vanuatu,26/04/2022 9:20,-15.3767,166.9592,6860,13,6422.00,,2343.856772,,,0.189504373,548,VUT,4227,12
Saint Vincent and the Grenadines,26/04/2022 9:20,12.9843,-61.2872,8394,106,6641.00,,7565.774649,,,1.262806767,670,VCT,61,0
Central African Republic,26/04/2022 9:20,6.6111,20.9394,14649,113,6859.00,,303.3067454,,,0.771383712,140,CAF,0,0
Antigua and Barbuda,26/04/2022 9:20,17.0608,-61.7964,7571,135,7402.00,,7731.190262,,,1.783119799,28,ATG,80,0
Guinea-Bissau,26/04/2022 9:20,11.8037,-15.1804,8186,171,7528.00,,415.9557073,,,2.088932323,624,GNB,46,1
Laos,26/04/2022 9:20,19.85627,102.495496,206042,736,7660.00,,2831.976003,,,0.357208724,418,LAO,36719,71
